,Month,Visitors
0,1976-01-01,202990
1,1976-02-01,137040
2,1976-03-01,118980
3,1976-04-01,102120
4,1976-05-01,128970
5,1976-06-01,100200
6,1976-07-01,116730
7,1976-08-01,144180
8,1976-09-01,160610
9,1976-10-01,157690
10,1976-11-01,132050
11,1976-12-01,139950
12,1977-01-01,219630
13,1977-02-01,133490
14,1977-03-01,120820
15,1977-04-01,110320
16,1977-05-01,115870
17,1977-06-01,108990
18,1977-07-01,131380
19,1977-08-01,140200
20,1977-09-01,166860
21,1977-10-01,150540
22,1977-11-01,152570
23,1977-12-01,147100
24,1978-01-01,208540
25,1978-02-01,134730
26,1978-03-01,128600
27,1978-04-01,115760
28,1978-05-01,135990
29,1978-06-01,116160
30,1978-07-01,141710
31,1978-08-01,152780
32,1978-09-01,184050
33,1978-10-01,164770
34,1978-11-01,163060
35,1978-12-01,168650
36,1979-01-01,228010
37,1979-02-01,151130
38,1979-03-01,150950
39,1979-04-01,140470
40,1979-05-01,163610
41,1979-06-01,154220
42,1979-07-01,172080
43,1979-08-01,177370
44,1979-09-01,201120
45,1979-10-01,185200
46,1979-11-01,187150
47,1979-12-01,193490
48,1980-01-01,232240
49,1980-02-01,185560
50,1980-03-01,192860
51,1980-04-01,157710
52,1980-05-01,173470
53,1980-06-01,177880
54,1980-07-01,185450
55,1980-08-01,184760
56,1980-09-01,193290
57,1980-10-01,198500
58,1980-11-01,201150
59,1980-12-01,200730
60,1981-01-01,233160
61,1981-02-01,180110
62,1981-03-01,194800
63,1981-04-01,169790
64,1981-05-01,177800
65,1981-06-01,186400
66,1981-07-01,190900
67,1981-08-01,188480
68,1981-09-01,192640
69,1981-10-01,209340
70,1981-11-01,204570
71,1981-12-01,202800
72,1982-01-01,252320
73,1982-02-01,185060
74,1982-03-01,190960
75,1982-04-01,190450
76,1982-05-01,178630
77,1982-06-01,176190
78,1982-07-01,211870
79,1982-08-01,200800
80,1982-09-01,210590
81,1982-10-01,213350
82,1982-11-01,200420
83,1982-12-01,198870
84,1983-01-01,251190
85,1983-02-01,178340
86,1983-03-01,173620
87,1983-04-01,170350
88,1983-05-01,167410
89,1983-06-01,167110
90,1983-07-01,198990
91,1983-08-01,192030
92,1983-09-01,200000
93,1983-10-01,217940
94,1983-11-01,194530
95,1983-12-01,205590
96,1984-01-01,254240
97,1984-02-01,187860
98,1984-03-01,177690
99,1984-04-01,187640
100,1984-05-01,195520
101,1984-06-01,186630
102,1984-07-01,213010
103,1984-08-01,206270
104,1984-09-01,239410
105,1984-10-01,239110
106,1984-11-01,224260
107,1984-12-01,231660
108,1985-01-01,281040
109,1985-02-01,221240
110,1985-03-01,220080
111,1985-04-01,195590
112,1985-05-01,209530
113,1985-06-01,205040
114,1985-07-01,221880
115,1985-08-01,229630
116,1985-09-01,258870
117,1985-10-01,266990
118,1985-11-01,249320
119,1985-12-01,250650
120,1986-01-01,303750
121,1986-02-01,237500
122,1986-03-01,242350
123,1986-04-01,224870
124,1986-05-01,224870
125,1986-06-01,224660
126,1986-07-01,254460
127,1986-08-01,269260
128,1986-09-01,277740
129,1986-10-01,294420
130,1986-11-01,291160
131,1986-12-01,294240
132,1987-01-01,346710
133,1987-02-01,277550
134,1987-03-01,264880
135,1987-04-01,259680
136,1987-05-01,247290
137,1987-06-01,240400
138,1987-07-01,316200
139,1987-08-01,307690
140,1987-09-01,303130
141,1987-10-01,368610
142,1987-11-01,326610
143,1987-12-01,334110
144,1988-01-01,384800
145,1988-02-01,314770
146,1988-03-01,313380
147,1988-04-01,300790
148,1988-05-01,278610
149,1988-06-01,301210
150,1988-07-01,386910
151,1988-08-01,354430
152,1988-09-01,360810
153,1988-10-01,416180
154,1988-11-01,357820
155,1988-12-01,371370
156,1989-01-01,417160
157,1989-02-01,342770
158,1989-03-01,331370
159,1989-04-01,319520
160,1989-05-01,273980
161,1989-06-01,301200
162,1989-07-01,393340
163,1989-08-01,339770
164,1989-09-01,355370
165,1989-10-01,409620
166,1989-11-01,363310
167,1989-12-01,383620
168,1990-01-01,452820
169,1990-02-01,371630
170,1990-03-01,343680
171,1990-04-01,357690
172,1990-05-01,309910
173,1990-06-01,324620
174,1990-07-01,417790
175,1990-08-01,379690
176,1990-09-01,386910
177,1990-10-01,439720
178,1990-11-01,374430
179,1990-12-01,399410
180,1991-01-01,462080
181,1991-02-01,350090
182,1991-03-01,349970
183,1991-04-01,306940
184,1991-05-01,308760
185,1991-06-01,342200
186,1991-07-01,427590
187,1991-08-01,387990
188,1991-09-01,400080
189,1991-10-01,459600
190,1991-11-01,406660
191,1991-12-01,415330
192,1992-01-01,477800
193,1992-02-01,412270
194,1992-03-01,375660
195,1992-04-01,379300
196,1992-05-01,341990
197,1992-06-01,342030
198,1992-07-01,462380
199,1992-08-01,403510
200,1992-09-01,408210
201,1992-10-01,491610
202,1992-11-01,440730
203,1992-12-01,454560
204,1993-01-01,538170
205,1993-02-01,430970
206,1993-03-01,415040
207,1993-04-01,405630
208,1993-05-01,379360
209,1993-06-01,377660
210,1993-07-01,491930
211,1993-08-01,437710
212,1993-09-01,439160
213,1993-10-01,534730
214,1993-11-01,464410
215,1993-12-01,494540
216,1994-01-01,548980
217,1994-02-01,488610
218,1994-03-01,480920
219,1994-04-01,440430
220,1994-05-01,385850
221,1994-06-01,414640
222,1994-07-01,545960
223,1994-08-01,472530
224,1994-09-01,485960
225,1994-10-01,573290
226,1994-11-01,501920
227,1994-12-01,547100
228,1995-01-01,615700
229,1995-02-01,523840
230,1995-03-01,498110
231,1995-04-01,499280
232,1995-05-01,434660
233,1995-06-01,462410
234,1995-07-01,603750
235,1995-08-01,525500
236,1995-09-01,520050
237,1995-10-01,613300
238,1995-11-01,550600
239,1995-12-01,603410
240,1996-01-01,660750
241,1996-02-01,609000
242,1996-03-01,571570
243,1996-04-01,559260
244,1996-05-01,455620
245,1996-06-01,525410
246,1996-07-01,646890
247,1996-08-01,574070
248,1996-09-01,578680
249,1996-10-01,672550
250,1996-11-01,609270
251,1996-12-01,658620
252,1997-01-01,703800
253,1997-02-01,635280
254,1997-03-01,619190
255,1997-04-01,552390
256,1997-05-01,501710
257,1997-06-01,547250
258,1997-07-01,710680
259,1997-08-01,593040
260,1997-09-01,619970
261,1997-10-01,710200
262,1997-11-01,633830
263,1997-12-01,647930
264,1998-01-01,712230
265,1998-02-01,611750
266,1998-03-01,574840
267,1998-04-01,597840
268,1998-05-01,532880
269,1998-06-01,560350
270,1998-07-01,696680
271,1998-08-01,614090
272,1998-09-01,628740
273,1998-10-01,731040
274,1998-11-01,638220
275,1998-12-01,680870
276,1999-01-01,754350
277,1999-02-01,653350
278,1999-03-01,635700
279,1999-04-01,601850
280,1999-05-01,550000
281,1999-06-01,566700
282,1999-07-01,734920
283,1999-08-01,645450
284,1999-09-01,674170
285,1999-10-01,776210
286,1999-11-01,686390
287,1999-12-01,696410
288,2000-01-01,753440
289,2000-02-01,708940
290,2000-03-01,663510
291,2000-04-01,707500
292,2000-05-01,594550
293,2000-06-01,615350
294,2000-07-01,794190
295,2000-08-01,679450
296,2000-09-01,753310
297,2000-10-01,821590
298,2000-11-01,759550
299,2000-12-01,820560
300,2001-01-01,874790
301,2001-02-01,733150
302,2001-03-01,707640
303,2001-04-01,719340
304,2001-05-01,603030
305,2001-06-01,656320
306,2001-07-01,835280
307,2001-08-01,697870
308,2001-09-01,705910
309,2001-10-01,750270
310,2001-11-01,625250
311,2001-12-01,753250
312,2002-01-01,787590
313,2002-02-01,708130
314,2002-03-01,729840
315,2002-04-01,649940
316,2002-05-01,598300
317,2002-06-01,625020
318,2002-07-01,801980
319,2002-08-01,691630
320,2002-09-01,692100
321,2002-10-01,828820
322,2002-11-01,714940
323,2002-12-01,769760
324,2003-01-01,838900
325,2003-02-01,720640
326,2003-03-01,672780
327,2003-04-01,574090
328,2003-05-01,487890
329,2003-06-01,545910
330,2003-07-01,771510
331,2003-08-01,675570
332,2003-09-01,727000
333,2003-10-01,839260
334,2003-11-01,774060
335,2003-12-01,837530
336,2004-01-01,930230
337,2004-02-01,815130
338,2004-03-01,754000
339,2004-04-01,770580
340,2004-05-01,671220
341,2004-06-01,705690
342,2004-07-01,952560
343,2004-08-01,785000
344,2004-09-01,812710
345,2004-10-01,951720
346,2004-11-01,838150
347,2004-12-01,919500
348,2005-01-01,1073840
349,2005-02-01,879130
350,2005-03-01,882640
351,2005-04-01,809610
352,2005-05-01,708680
353,2005-06-01,763400
354,2005-07-01,1031850
355,2005-08-01,847750
356,2005-09-01,892970
357,2005-10-01,989370
358,2005-11-01,842190
359,2005-12-01,944670
360,2006-01-01,1092420
361,2006-02-01,892920
362,2006-03-01,845850
363,2006-04-01,849430
364,2006-05-01,722640
365,2006-06-01,779630
366,2006-07-01,1036240
367,2006-08-01,845420
368,2006-09-01,909060
369,2006-10-01,1035540
370,2006-11-01,893840
371,2006-12-01,1007590
372,2007-01-01,1135590
373,2007-02-01,929580
374,2007-03-01,945260
375,2007-04-01,909670
376,2007-05-01,779980
377,2007-06-01,841640
378,2007-07-01,1085800
379,2007-08-01,926260
380,2007-09-01,956610
381,2007-10-01,1107580
382,2007-11-01,964140
383,2007-12-01,1031710
384,2008-01-01,1208080
385,2008-02-01,1039480
386,2008-03-01,998160
387,2008-04-01,929810
388,2008-05-01,845990
389,2008-06-01,881290
390,2008-07-01,1163830
391,2008-08-01,964100
392,2008-09-01,959240
393,2008-10-01,1129070
394,2008-11-01,962240
395,2008-12-01,1033260
396,2009-01-01,1238640
397,2009-02-01,998940
398,2009-03-01,954240
399,2009-04-01,982110
400,2009-05-01,857170
401,2009-06-01,862650
402,2009-07-01,1155030
403,2009-08-01,1009820
404,2009-09-01,1045330
405,2009-10-01,1219110
406,2009-11-01,1033140
407,2009-12-01,1138540
408,2010-01-01,1352000
409,2010-02-01,1099660
410,2010-03-01,1063910
411,2010-04-01,1035820
412,2010-05-01,905910
413,2010-06-01,964870
414,2010-07-01,1309700
415,2010-08-01,1090010
416,2010-09-01,1151000
417,2010-10-01,1308330
418,2010-11-01,1098810
419,2010-12-01,1192680
420,2011-01-01,1459720
421,2011-02-01,1166430
422,2011-03-01,1067910
423,2011-04-01,1102930
424,2011-05-01,1034900
425,2011-06-01,996710
426,2011-07-01,1382310
427,2011-08-01,1154950
428,2011-09-01,1178760
429,2011-10-01,1389340
430,2011-11-01,1157950
431,2011-12-01,1233230
432,2012-01-01,1538040
433,2012-02-01,1234500
434,2012-03-01,1156120
435,2012-04-01,1194630
436,2012-05-01,1014810
437,2012-06-01,1097420
438,2012-07-01,1429310
439,2012-08-01,1203720
440,2012-09-01,1252460
441,2012-10-01,1454320
442,2012-11-01,1222060
443,2012-12-01,1323140
444,2013-01-01,1578440
445,2013-02-01,1261420
446,2013-03-01,1239490
447,2013-04-01,1226840
448,2013-05-01,1097850
449,2013-06-01,1161650
450,2013-07-01,1511220
451,2013-08-01,1304740
452,2013-09-01,1325700
453,2013-10-01,1532780
454,2013-11-01,1283830
455,2013-12-01,1422260
456,2014-01-01,1744890
457,2014-02-01,1339050
458,2014-03-01,1280150
459,2014-04-01,1331230
460,2014-05-01,1187550
461,2014-06-01,1179420
462,2014-07-01,1594110
463,2014-08-01,1362450
464,2014-09-01,1381030
465,2014-10-01,1574500
466,2014-11-01,1342800
467,2014-12-01,1455550
468,2015-01-01,1780350
469,2015-02-01,1415950
470,2015-03-01,1388160
471,2015-04-01,1365370
472,2015-05-01,1215090
473,2015-06-01,1233570
474,2015-07-01,1646140
475,2015-08-01,1419480
476,2015-09-01,1456880
477,2015-10-01,1650380
478,2015-11-01,1424700
479,2015-12-01,1584200
480,2016-01-01,1908270
481,2016-02-01,1560130
482,2016-03-01,1479930
483,2016-04-01,1473700
484,2016-05-01,1304820
485,2016-06-01,1326820
486,2016-07-01,1829100
487,2016-08-01,1511510
488,2016-09-01,1587330
489,2016-10-01,1778870
490,2016-11-01,1512920
491,2016-12-01,1716250
492,2017-01-01,2066340
493,2017-02-01,1631360
494,2017-03-01,1522680
495,2017-04-01,1649770
496,2017-05-01,1401070
497,2017-06-01,1421130
498,2017-07-01,1909100
499,2017-08-01,1623620
500,2017-09-01,1666150
501,2017-10-01,1879610
502,2017-11-01,1602190
503,2017-12-01,1755130
504,2018-01-01,2130700
505,2018-02-01,1729160
506,2018-03-01,1682320
507,2018-04-01,1668310
508,2018-05-01,1480380
509,2018-06-01,1513000
510,2018-07-01,2009860
511,2018-08-01,1718580
512,2018-09-01,1721970
513,2018-10-01,1963730
514,2018-11-01,1667980
515,2018-12-01,1853600
516,2019-01-01,2217890
517,2019-02-01,1788430
518,2019-03-01,1660140
519,2019-04-01,1674400
520,2019-05-01,1587870
521,2019-06-01,1562130
522,2019-07-01,2008780
523,2019-08-01,1782670
524,2019-09-01,1746100
525,2019-10-01,1979190
526,2019-11-01,1721900
527,2019-12-01,1889300
528,2020-01-01,2257280
529,2020-02-01,1568650
530,2020-03-01,921950
531,2020-04-01,21170
532,2020-05-01,19120
533,2020-06-01,25120
534,2020-07-01,17260
535,2020-08-01,14940
536,2020-09-01,16200
537,2020-10-01,23710
538,2020-11-01,29330
539,2020-12-01,34670
540,2021-01-01,31160
541,2021-02-01,25210
542,2021-03-01,31990
543,2021-04-01,53910
544,2021-05-01,114520
545,2021-06-01,102480
546,2021-07-01,74860
547,2021-08-01,26980
548,2021-09-01,18840
549,2021-10-01,15730
